node1,node2,edgeWeight
001012,001032,16
001012,001022,7
001012,001082,3
001012,001162,3
001012,001062,3
001012,001422,3
001012,001072,3
001312,001592,10
001112,001592,9
001592,001362,9
001582,001592,8
001592,001252,6
001132,001592,5
001592,001542,5
001342,001592,3
001282,001592,3
001592,001422,3
001352,001592,3
001592,001372,3
001282,001582,9
001582,001372,8
001582,001402,6
001352,001582,5
001582,001412,5
001582,001522,4
001382,001582,4
001582,001272,3
001342,001582,3
001132,001582,3
001582,001292,3
001452,001582,3
001572,001562,23
001572,001552,18
001572,001492,16
001572,001482,10
001572,001462,7
001572,001502,7
001572,001192,6
001572,001022,6
001552,001562,28
001562,001492,8
001562,001022,6
001462,001562,6
001562,001502,6
001482,001562,4
001192,001562,4
001182,001562,3
001562,001292,3
001562,001522,3
001552,001462,6
001552,001172,6
001552,001022,6
001552,001152,3
001552,001502,3
001182,001552,3
001552,001192,3
001552,001492,3
001302,001542,67
001532,001542,55
001312,001542,33
001102,001542,24
001332,001542,24
001512,001542,19
001092,001542,14
001292,001542,12
001492,001542,11
001482,001542,11
001502,001542,10
001432,001542,9
001472,001542,8
001322,001542,8
001192,001542,7
001132,001542,6
001112,001542,5
001412,001542,5
001122,001542,3
001152,001542,3
001242,001542,3
001302,001532,61
001332,001532,54
001532,001102,52
001312,001532,30
001532,001492,21
001112,001532,8
001092,001532,7
001482,001532,7
001532,001502,7
001532,001432,6
001532,001222,6
001242,001532,5
001472,001532,4
001132,001532,3
001192,001522,9
001402,001522,7
001272,001522,6
001282,001522,5
001292,001522,5
001392,001522,4
001422,001522,4
001022,001522,4
001312,001522,3
001342,001522,3
001262,001522,3
001372,001522,3
001302,001512,26
001192,001512,18
001472,001512,16
001312,001512,15
001292,001512,11
001512,001502,11
001482,001512,9
001462,001512,9
001422,001512,6
001322,001512,6
001492,001512,5
001112,001512,3
001492,001502,47
001462,001502,44
001192,001502,38
001482,001502,35
001472,001502,15
001022,001502,12
001172,001502,7
001302,001502,4
001422,001502,4
001312,001502,4
001482,001492,27
001192,001492,25
001462,001492,19
001022,001492,11
001332,001492,9
001472,001492,9
001132,001492,7
001312,001492,6
001302,001492,5
001242,001492,4
001232,001492,4
001492,001172,3
001492,001222,3
001482,001192,44
001482,001462,26
001482,001472,11
001482,001302,8
001482,001312,6
001482,001332,5
001482,001022,4
001482,001132,4
001482,001242,3
001482,001292,3
001482,001422,3
001472,001462,14
001472,001192,13
001472,001302,7
001472,001422,7
001472,001332,4
001472,001022,3
001472,001312,3
001462,001192,34
001462,001022,5
001462,001422,5
001462,001172,3
001462,001292,3
001452,001372,7
001452,001402,6
001342,001452,4
001452,001362,4
001442,001402,7
001442,001372,5
001442,001342,5
001322,001432,9
001302,001432,9
001352,001432,6
001332,001432,4
001312,001432,4
001102,001432,4
001292,001432,4
001372,001432,3
001192,001432,3
001192,001422,7
001142,001422,6
001082,001422,5
001402,001422,4
001422,001372,4
001022,001422,4
001392,001422,3
001342,001422,3
001212,001422,3
001382,001412,5
001312,001412,3
001412,001272,3
001342,001402,20
001402,001372,15
001402,001292,8
001382,001402,5
001402,001362,5
001152,001402,4
001352,001402,4
001392,001402,4
001302,001402,4
001282,001402,3
001142,001402,3
001392,001192,3
001382,001372,5
001382,001292,3
001342,001372,18
001352,001372,14
001372,001122,9
001372,001362,8
001292,001372,7
001142,001372,6
001282,001372,4
001032,001372,3
001372,001272,3
001152,001372,3
001092,001372,3
001112,001362,7
001352,001362,7
001342,001362,5
001312,001362,4
001122,001362,4
001352,001292,16
001352,001122,10
001352,001312,5
001352,001112,4
001352,001322,3
001352,001302,3
001352,001152,3
001312,001332,33
001302,001332,19
001112,001332,8
001332,001102,7
001332,001152,4
001322,001292,24
001302,001322,16
001322,001122,9
001322,001312,8
001112,001322,5
001322,001152,3
001322,001192,3
001302,001312,39
001112,001312,31
001312,001292,23
001242,001312,7
001312,001102,6
001312,001252,6
001282,001312,6
001312,001152,5
001132,001312,4
001312,001122,3
001302,001292,27
001302,001102,14
001302,001152,9
001302,001122,8
001302,001192,6
001112,001302,5
001302,001132,5
001302,001142,4
001302,001092,3
001292,001122,12
001192,001292,7
001152,001292,6
001282,001292,5
001292,001102,4
001112,001292,4
001282,001272,18
001282,001242,7
001282,001252,4
001282,001232,3
001262,001272,5
001252,001272,3
001242,001252,9
001242,001132,4
001112,001242,4
001142,001242,3
001212,001062,8
001212,001202,7
001212,001162,5
001212,001182,4
001212,001082,3
001182,001202,7
001202,001062,5
001202,001172,4
001202,001022,4
001202,001162,3
001092,001192,5
001132,001192,5
001182,001162,15
001182,001062,10
001182,001022,6
001182,001172,6
001182,001032,3
001022,001172,12
001172,001162,6
001032,001172,4
001062,001162,7
001022,001162,3
001152,001122,18
001152,001102,5
001112,001152,3
001142,001122,4
001142,001022,3
001112,001132,4
001112,001122,5
001112,001102,3
001092,001102,11
001032,001082,4
001042,001082,3
001072,001062,6
001032,001072,6
001042,001072,5
001072,001022,4
001032,001062,6
001022,001062,4
001042,001062,3
001052,001042,3
001032,001042,6
001032,001022,5
